id,preview_url,class,scan,style,role,tabindex,onkeydown,onclick,title,name,color,top_px,left_px,font_size_pct
item1,https://p.scdn.co/mp3-preview/17fa164b977074dd1b1869bfb10b08cfd513e53b,genre scanme,true,color: #ad8907; top: 4997px; left: 783px; font-size: 160%,button,0,kb(event);,"playx(""1V6gIisPpYqgFeWbMLI0bA"", ""pop"", this);","e.g. Demi Lovato ""Heart Attack""",pop,#ad8907,4997.0,783.0,160.0
item2,https://p.scdn.co/mp3-preview/6a8b8a604866070283a65bc021cb51330555e9c7,genre scanme,true,color: #a78a03; top: 5866px; left: 1068px; font-size: 144%,button,0,kb(event);,"playx(""2G1tXoGBaEMJ7FKGnkf6ud"", ""rap"", this);","e.g. Gucci Mane ""Wake Up in the Sky""",rap,#a78a03,5866.0,1068.0,144.0
item3,https://p.scdn.co/mp3-preview/c5efbed38649f0676181dc6bb6e3c8644925726e,genre scanme,true,color: #ac7119; top: 11552px; left: 563px; font-size: 141%,button,0,kb(event);,"playx(""1Y373MqadDRtclJNdnUXVc"", ""rock"", this);","e.g. Black Sabbath ""Paranoid - 2012 - Remaster""",rock,#ac7119,11552.0,563.0,141.0
item4,https://p.scdn.co/mp3-preview/486bdd86843f0ac2f401859e84ba9b5472d115cb,genre scanme,true,color: #bd9002; top: 3456px; left: 1170px; font-size: 136%,button,0,kb(event);,"playx(""3cDyocF0Ibdfs1SFQk5cLZ"", ""urbano latino"", this);","e.g. Darell ""Lollipop""",urbano latino,#bd9002,3456.0,1170.0,136.0
item5,https://p.scdn.co/mp3-preview/f27225424bca80900ee9a32f4a494c900a012200,genre scanme,true,color: #ac7f08; top: 6854px; left: 1086px; font-size: 135%,button,0,kb(event);,"playx(""0trHOzAhNpGCsGBEu7dOJo"", ""hip hop"", this);","e.g. Nas ""N.Y. State of Mind""",hip hop,#ac7f08,6854.0,1086.0,135.0
item6,https://p.scdn.co/mp3-preview/51d496e8d53059179863411b06ed2431ca2be92a,genre scanme,true,color: #bc9101; top: 3723px; left: 1182px; font-size: 134%,button,0,kb(event);,"playx(""5kCoykriGdZhWMlm9vrtQI"", ""trap latino"", this);","e.g. Alex Rose ""Toda - Remix""",trap latino,#bc9101,3723.0,1182.0,134.0
item7,https://p.scdn.co/mp3-preview/3c1278cf0eb6aba0f72552a3aa469dfed37d8e75,genre scanme,true,color: #c08f02; top: 3087px; left: 1173px; font-size: 131%,button,0,kb(event);,"playx(""0AAl3LtvIhEilWXZmYHeh5"", ""reggaeton"", this);","e.g. Zion ""More""",reggaeton,#c08f02,3087.0,1173.0,131.0
item8,https://p.scdn.co/mp3-preview/6de2791f84c1d637a0e24734b6df3997cc742da4,genre scanme,true,color: #b7840b; top: 3478px; left: 862px; font-size: 131%,button,0,kb(event);,"playx(""6I9VzXrHxO9rA9A5euc8Ak"", ""dance pop"", this);","e.g. Britney Spears ""Toxic""",dance pop,#b7840b,3478.0,862.0,131.0
item9,https://p.scdn.co/mp3-preview/d34545f442d5a3861c61afd164d7927b00c06531,genre scanme,true,color: #ac8803; top: 5285px; left: 1043px; font-size: 128%,button,0,kb(event);,"playx(""2q4rjDy9WhaN3o9MvDbO21"", ""pop rap"", this);","e.g. Soulja Boy ""Kiss Me Thru The Phone""",pop rap,#ac8803,5285.0,1043.0,128.0
item10,https://p.scdn.co/mp3-preview/a7a72315d777f4ed078d955238f9db158c915fc1,genre scanme,true,color: #bd7812; top: 5689px; left: 471px; font-size: 127%,button,0,kb(event);,"playx(""2tznHmp70DxMyr2XhWLOW0"", ""modern rock"", this);","e.g. Cage The Elephant ""Cigarette Daydreams""",modern rock,#bd7812,5689.0,471.0,127.0
