src,dst,type,weight,source,version
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::2zYzyRzz6pRmhPzyfMEC8s,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::0J6mQxEZnlRt9ymzFntA6z,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::4bHsxqR3GMrXTxEPLuK5ue,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::7tFiyTwD0nx5a1eklYtX2J,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::5ghIJDpPoe3CfHMGu71E6T,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::4gMgiXfqyzZLMhsksGmbQV,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::6ZOBP3NvffbU4SZcrnt1k6,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::5NIPsWpDjJTFBoPxCUUeXp,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::07q0QVgO56EorrSGHC48y3,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::1QEEqeFIZktqIpPI4jSVSF,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::3d9DChrdc6BOeFsbrZ3Is0,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::0PdM2a6oIjqepoEfcJo0RO,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::5BIMPccDwShpXq784RJlJp,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::4DMKwE2E2iYDKY01C335Uw,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::3QZ7uX97s82HFYSmQUAN1D,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::1CQqupcyMg7176PPmIVmSj,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::5tVA6TkbaAH9QMITTQRrNv,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::6H3kDe7CGoWYBabAeVWGiD,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::7N3PAbqfTjSEU1edb2tY8j,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::5UWwZ5lm5PKu6eKsHAGxOk,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::40riOy7x9W7GXjyGp4pjAv,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::2aoo2jlRnM3A0NyLQqMN2f,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::2b9lp5A6CqSzwOrBfAFhof,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::7GonnnalI2s19OCQO1J7Tf,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::1Y373MqadDRtclJNdnUXVc,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::1UBQ5GK8JaQjm5VbkBZY66,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::5QTxFnGygVM4jFQiBovmRo,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::5RsUlxLto4NZbhJpqJbHfN,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::31AOj9sFz2gM0O3hMARRBx,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::4BP3uh0hFLFRb5cjsgLqDh,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::3gdewACMIVMEWVbyb8O9sY,IN_PLAYLIST,1.0,spotify,v1
playlist::1ti3v0lLrJ4KhSTuxt4loZ,track::1kdiiFGX1Htx0aVZYaDwEJ,IN_PLAYLIST,1.0,spotify,v1
